lon,lat,PGA-0.0137,PGA-0.0098,PGA-0.0021,PGA-0.001,PGA-0.0003,PGA-0.0001,SA(0.3)-0.0137,SA(0.3)-0.0098,SA(0.3)-0.0021,SA(0.3)-0.001,SA(0.3)-0.0003,SA(0.3)-0.0001,SA(0.6)-0.0137,SA(0.6)-0.0098,SA(0.6)-0.0021,SA(0.6)-0.001,SA(0.6)-0.0003,SA(0.6)-0.0001,SA(1.0)-0.0137,SA(1.0)-0.0098,SA(1.0)-0.0021,SA(1.0)-0.001,SA(1.0)-0.0003,SA(1.0)-0.0001,SA(1.5)-0.0137,SA(1.5)-0.0098,SA(1.5)-0.0021,SA(1.5)-0.001,SA(1.5)-0.0003,SA(1.5)-0.0001
22.95978,40.65523,0.11,0.135,0.286,0.382,0.538,0.692,0.2,0.24,0.55,0.78,1.15,1.46,0.09,0.11,0.26,0.38,0.56,0.72,0.05,0.06,0.14,0.2,0.29,0.38,0.03,0.03,0.08,0.12,0.17,0.22
22.95978,40.64523,0.118,0.146,0.304,0.408,0.577,0.739,0.21,0.26,0.6,0.84,1.23,1.58,0.1,0.12,0.3,0.42,0.62,0.81,0.05,0.06,0.16,0.22,0.32,0.43,0.03,0.04,0.09,0.13,0.19,0.25
22.95978,40.63523,0.119,0.147,0.303,0.41,0.591,0.765,0.21,0.26,0.61,0.86,1.24,1.57,0.1,0.12,0.3,0.43,0.62,0.81,0.05,0.06,0.16,0.22,0.32,0.43,0.03,0.04,0.09,0.13,0.19,0.25
22.96978,40.64523,0.112,0.137,0.286,0.384,0.549,0.712,0.2,0.24,0.56,0.8,1.16,1.47,0.09,0.11,0.27,0.38,0.56,0.73,0.05,0.06,0.14,0.2,0.29,0.39,0.03,0.04,0.08,0.12,0.17,0.23
22.96978,40.63523,0.119,0.148,0.304,0.415,0.605,0.782,0.21,0.26,0.61,0.87,1.24,1.59,0.1,0.12,0.3,0.43,0.63,0.81,0.05,0.06,0.16,0.22,0.33,0.43,0.03,0.04,0.09,0.13,0.19,0.26
22.96978,40.62523,0.12,0.148,0.303,0.42,0.622,0.804,0.22,0.27,0.61,0.87,1.24,1.59,0.1,0.12,0.3,0.43,0.63,0.81,0.05,0.06,0.16,0.22,0.33,0.43,0.03,0.04,0.09,0.13,0.19,0.26
22.97978,40.62523,0.118,0.146,0.298,0.413,0.611,0.789,0.21,0.26,0.6,0.86,1.22,1.56,0.1,0.12,0.29,0.42,0.61,0.79,0.05,0.06,0.15,0.22,0.32,0.42,0.03,0.04,0.09,0.13,0.19,0.25
22.97978,40.61523,0.12,0.149,0.304,0.418,0.615,0.794,0.22,0.27,0.61,0.87,1.24,1.59,0.1,0.12,0.3,0.43,0.63,0.81,0.05,0.06,0.16,0.22,0.33,0.43,0.03,0.04,0.09,0.13,0.19,0.26
22.98978,40.60523,0.12,0.148,0.304,0.408,0.58,0.745,0.22,0.27,0.6,0.85,1.24,1.58,0.1,0.12,0.3,0.43,0.62,0.81,0.05,0.06,0.16,0.22,0.32,0.43,0.03,0.04,0.09,0.13,0.19,0.25
22.87978,40.65523,0.159,0.195,0.431,0.579,0.799,0.995,0.31,0.37,0.85,1.18,1.66,2.07,0.17,0.21,0.49,0.69,1.02,1.31,0.1,0.12,0.26,0.38,0.56,0.73,0.06,0.08,0.17,0.24,0.35,0.45
22.87978,40.64523,0.172,0.213,0.466,0.624,0.857,1.06,0.34,0.41,0.94,1.3,1.81,2.26,0.2,0.24,0.56,0.8,1.17,1.5,0.12,0.14,0.31,0.44,0.65,0.85,0.07,0.09,0.2,0.28,0.41,0.53
22.87978,40.67523,0.149,0.183,0.404,0.545,0.753,0.932,0.28,0.35,0.79,1.09,1.54,1.92,0.16,0.19,0.44,0.62,0.92,1.19,0.09,0.11,0.24,0.34,0.51,0.66,0.06,0.07,0.15,0.21,0.32,0.41
